year,buyer,buyer_sales,seller,seller_sector,total_trans
2000,2,5.3805766,39,1,5.3805766
2001,2,5.0362248,39,1,5.0362248
2002,2,5.935997,39,1,5.935997
2003,2,4.1837673,39,1,4.1837673
2004,2,6.0585666,39,1,6.0585666
2005,2,5.6503863,39,1,5.6503863
2000,3,1038.4244,7,1,5.2951779
2000,3,1038.4244,36,5,6.6597018
2000,3,1038.4244,42,6,13.830265
2000,3,1038.4244,39,2,1.0598526
2000,3,1038.4244,46,4,11.579396
2001,3,1063.1503,43,5,4.1346664
2001,3,1063.1503,7,1,21.975744
2001,3,1063.1503,46,4,7.7318978
2001,3,1063.1503,24,6,6.7889113
2001,3,1063.1503,39,2,11.675388
2001,3,1063.1503,24,3,10.843636
2002,3,1027.3848,46,4,5.735538
2002,3,1027.3848,39,2,1
2002,3,1027.3848,7,1,1.1554363
2002,3,1027.3848,41,3,9.822175
2002,3,1027.3848,24,6,9.6716108
2003,3,1051.8007,39,2,10.098016
2003,3,1051.8007,20,6,17.967016
2003,3,1051.8007,7,1,1
2003,3,1051.8007,46,4,4.8569694
2003,3,1051.8007,41,3,7.9655876
2003,3,1051.8007,28,5,9.9130125
2004,3,1059.5609,39,6,1.0570035
2004,3,1059.5609,46,4,12.002097
2004,3,1059.5609,17,2,1
2004,3,1059.5609,41,3,18.960047
2004,3,1059.5609,7,1,9.7180214
2004,3,1059.5609,28,5,16.823759
2005,3,1045.3107,7,1,4.7146926
2005,3,1045.3107,17,2,6.9269505
2005,3,1045.3107,39,3,8.3164692
2005,3,1045.3107,46,4,6.3423109
2005,3,1045.3107,25,6,7.3322558
2005,3,1045.3107,28,5,11.677973
2006,3,2059.0215,19,2,5.0890293
2006,3,2059.0215,25,6,12.031797
2006,3,2059.0215,46,4,16.842541
2006,3,2059.0215,7,1,7.4531455
2006,3,2059.0215,34,3,8.2148867
2006,3,2059.0215,47,5,9.3901873
2007,3,1040.3038,34,3,6.8098831
2007,3,1040.3038,46,6,10.152461
2007,3,1040.3038,43,5,17.842695
2007,3,1040.3038,7,1,1
2007,3,1040.3038,9,4,4.4987721
2008,3,1018.8917,19,2,3.0648692
2008,3,1018.8917,7,1,6.2316427
2008,3,1018.8917,27,4,8.5952282
2008,3,1018.8917,46,6,1
2009,3,1051.0095,19,4,8.6817799
2009,3,1051.0095,19,2,1
2009,3,1051.0095,46,6,21.302326
