year,state_seller,sector_seller,seller,state_buyer,sector_buyer,buyer,amount
1999,9,6,1,4,10,9,48.194584
1998,9,6,1,6,18,27,64.633743
1996,9,6,1,8,18,36,71.268677
1999,9,6,1,14,18,52,76.784996
2000,9,6,1,10,16,82,82.534035
1996,9,6,1,8,5,84,47.232967
1997,9,6,1,11,12,91,71.250931
1998,9,6,1,10,5,97,69.43914
1995,9,6,1,10,5,97,57.516857
1995,9,6,1,6,11,99,67.587967
1996,9,6,1,8,18,122,69.088181
1996,9,6,1,14,1,129,60.720341
1998,9,6,1,3,19,154,59.302826
1995,9,6,1,11,19,170,77.661743
2000,9,6,1,6,2,198,41.653152
1995,9,6,1,7,12,199,72.203804
1996,9,6,1,6,7,207,79.284882
1998,9,6,1,3,9,213,70.965073
1998,9,6,1,6,17,227,86.109673
1996,9,6,1,8,8,230,87.463531
1997,9,6,1,4,7,237,74.810272
2000,9,6,1,13,15,243,70.633842
1996,9,6,1,13,12,246,61.57169
1995,9,6,1,7,19,250,85.318245
2000,9,6,1,3,13,276,73.561813
1998,9,6,1,15,14,278,84.893639
1997,9,6,1,2,10,300,74.223961
2000,9,6,1,8,9,303,54.715984
1999,9,6,1,14,7,308,86.989677
2000,9,6,1,12,15,318,95.010201
2000,9,6,1,2,12,326,72.381073
1996,9,6,1,10,3,338,97.506821
1998,9,6,1,12,9,341,97.818405
1999,9,6,1,7,7,342,69.683098
1997,9,6,1,5,18,343,95.215576
1999,9,6,1,7,9,348,96.326256
1998,9,6,1,13,11,362,104.27675
1996,9,6,1,13,10,395,92.053619
1996,9,6,1,10,16,419,82.60273
2000,9,6,1,5,3,442,81.503395
1996,9,6,1,2,18,443,100.25884
1995,9,6,1,13,14,445,118.85148
1997,9,6,1,14,14,466,109.17869
1998,9,6,1,5,9,477,92.462532
1999,9,6,1,9,6,488,107.22459
1996,9,6,1,10,1,505,111.40137
1996,9,6,1,6,20,524,121.59827
1995,9,6,1,6,20,524,110.83169
2000,9,6,1,10,1,547,111.96793
1998,9,6,1,11,17,549,101.04578
1995,9,6,1,11,8,564,104.91628
1995,9,6,1,7,19,567,123.68542
1999,9,6,1,10,17,570,128.53871
1997,9,6,1,10,5,571,111.72569
1997,9,6,1,11,5,576,76.796524
1998,9,6,1,5,11,582,91.460136
1998,9,6,1,5,14,586,105.35282
1998,9,6,1,2,2,590,94.974678
1997,9,6,1,7,14,591,128.24849
1997,9,6,1,1,5,595,115.30765
1997,9,6,1,13,8,604,100.50587
1995,9,6,1,15,14,609,131.79073
1998,9,6,1,12,7,613,103.32162
1996,9,6,1,11,1,659,116.89392
1997,9,6,1,5,8,660,109.31586
1997,9,6,1,9,12,661,121.61533
1995,9,6,1,13,11,669,121.57869
1997,9,6,1,2,6,712,128.7233
1999,9,6,1,7,18,714,124.11985
1996,9,6,1,13,20,729,136.37088
1995,9,6,1,9,8,739,140.20192
2000,9,6,1,5,8,742,143.80858
1999,9,6,1,1,15,754,150.49425
2000,9,6,1,12,2,773,133.60579
2000,9,6,1,4,1,815,134.67551
2000,9,6,1,4,1,815,114.99014
1995,9,6,1,11,4,820,123.34312
1999,9,6,1,4,12,827,132.66223
1995,9,6,1,5,15,845,130.69193
1998,9,6,1,9,8,847,142.49352
1995,9,6,1,2,13,864,140.49971
1995,9,6,1,2,13,864,138.47321
1997,9,6,1,12,12,869,147.55064
2000,9,6,1,2,4,898,133.87407
1999,3,5,2,14,19,12,66.472389
1998,3,5,2,11,15,16,54.241623
1996,3,5,2,6,18,27,49.55769
1997,3,5,2,9,16,29,50.176994
1996,3,5,2,2,4,39,40.408298
1999,3,5,2,15,15,41,75.897285
1995,3,5,2,14,18,52,63.700123
