"","iso_o","iso_d","dist"
"1","Alabama","Alabama",145.770169409747
"2","Alabama","Alaska",5333.08821902673
"3","Alabama","Arizona",2370.81370724785
"4","Alabama","Arkansas",586.066585067413
"5","Alabama","AUS",22009.4986475489
"6","Alabama","AUT",34785.4385653882
"7","Alabama","BEL",18138.1839170145
"8","Alabama","BGR",35811.6548358701
"9","Alabama","BRA",14915.0417722192
"10","Alabama","California",2979.46919697127
"11","Alabama","CAN",2911.67694139288
"12","Alabama","CHN",38263.396443973
"13","Alabama","Colorado",1792.41807097105
"14","Alabama","Connecticut",1542.54846069096
"15","Alabama","CYP",27003.1454026645
"16","Alabama","CZE",52560.6143291255
"17","Alabama","Delaware",1219.9090455683
"18","Alabama","DEU",38634.7877214081
"19","Alabama","DNK",27985.6672114057
"20","Alabama","ESP",21201.7746566285
"21","Alabama","EST",21495.5148627176
"22","Alabama","FIN",29666.9317105405
"23","Alabama","Florida",666.980081019881
"24","Alabama","FRA",20200.5729579282
"25","Alabama","GBR",15795.1344907863
"26","Alabama","Georgia",269.290214091472
"27","Alabama","GRC",25510.1481567593
"28","Alabama","Hawaii",7031.47790273044
"29","Alabama","HUN",42428.8928584846
"30","Alabama","Idaho",2734.15653811975
"31","Alabama","IDN",98694.9592560421
"32","Alabama","Illinois",895.865152056402
"33","Alabama","IND",78177.654177828
"34","Alabama","Indiana",751.765918726005
"35","Alabama","Iowa",1123.73928017559
"36","Alabama","IRL",24278.6123392248
"37","Alabama","ITA",19544.1890511752
"38","Alabama","JPN",15633.6451407459
"39","Alabama","Kansas",1061.59951712831
"40","Alabama","Kentucky",523.827286837101
"41","Alabama","KOR",17146.1925386925
"42","Alabama","Louisiana",505.746138916062
"43","Alabama","LTU",29849.0821941946
"44","Alabama","Maine",1929.52157055919
"45","Alabama","Maryland",1117.38141647424
"46","Alabama","Massachusetts",1692.23675140625
"47","Alabama","MEX",3323.58865997491
"48","Alabama","Michigan",1100.33903592237
"49","Alabama","Minnesota",1463.4226997433
"50","Alabama","Mississippi",292.212184091173
"51","Alabama","Missouri",752.133575797129
"52","Alabama","Montana",2564.78981820188
"53","Alabama","Nebraska",1294.68754806942
"54","Alabama","Nevada",2698.02579176725
"55","Alabama","NewHampshire",1739.55469429534
"56","Alabama","NewJersey",1364.8388340442
"57","Alabama","NewMexico",1824.27169793436
"58","Alabama","NewYork",1432.02397065306
"59","Alabama","NLD",34750.9207141582
"60","Alabama","NorthCarolina",686.701996217311
"61","Alabama","NorthDakota",1911.88247193952
"62","Alabama","Ohio",870.409313060609
"63","Alabama","Oklahoma",967.057871459079
"64","Alabama","Oregon",3325.63842988258
"65","Alabama","Pennsylvania",1187.35458273672
"66","Alabama","POL",52373.7727720328
"67","Alabama","PRT",17608.319314377
"68","Alabama","RhodeIsland",1651.29913773789
"69","Alabama","ROU",65304.6989377803
"70","Alabama","RoW",32754.8901690265
"71","Alabama","RUS",24457.0263345676
"72","Alabama","SouthCarolina",541.404003682576
"73","Alabama","SouthDakota",1603.74054783241
"74","Alabama","SVK",69693.7727256322
"75","Alabama","SVN",43955.7612164339
"76","Alabama","SWE",32742.2457443115
"77","Alabama","Tennessee",320.278128924785
"78","Alabama","Texas",1014.21171022706
"79","Alabama","TUR",20394.5468453988
"80","Alabama","TWN",23340.7955896776
"81","Alabama","Utah",2387.44816795174
"82","Alabama","Vermont",1718.62026167237
"83","Alabama","Virginia",947.647678491829
"84","Alabama","Washington",3310.75197739923
"85","Alabama","WestVirginia",813.973150353795
"86","Alabama","Wisconsin",1183.47326544438
"87","Alabama","Wyoming",2067.64806147217
"88","Alaska","Alabama",5333.08821902673
"89","Alaska","Alaska",414.829141613471
"90","Alaska","Arizona",4036.16275738831
"91","Alaska","Arkansas",4827.14462798766
"92","Alaska","AUS",17516.6708314427
"93","Alaska","AUT",32850.1102762893
"94","Alaska","BEL",18084.5499198806
"95","Alaska","BGR",33186.7364254698
"96","Alaska","BRA",25856.80740787
"97","Alaska","California",3501.83286855532
"98","Alaska","CAN",6061.76612091587
"99","Alaska","CHN",21996.9539599792
"100","Alaska","Colorado",3784.15641875915
"101","Alaska","Connecticut",5319.00256807193
"102","Alaska","CYP",24531.2483557049
"103","Alaska","CZE",49396.2035309794
"104","Alaska","Delaware",5370.58707400751
"105","Alaska","DEU",37006.41629724
"106","Alaska","DNK",25469.663914679
"107","Alaska","ESP",24061.9631246397
"108","Alaska","EST",17634.4101267691
"109","Alaska","FIN",24125.082390974
"110","Alaska","Florida",6081.67922905176
"111","Alaska","FRA",20934.8572681212
"112","Alaska","GBR",16096.1804897194
"113","Alaska","Georgia",5453.41752542783
"114","Alaska","GRC",24304.9449457066
"115","Alaska","Hawaii",4553.98439622641
"116","Alaska","HUN",39429.4802394279
"117","Alaska","Idaho",2846.15268064976
"118","Alaska","IDN",66745.4726623951
"119","Alaska","Illinois",4512.97514387055
"120","Alaska","IND",56099.8035920047
"121","Alaska","Indiana",4722.44187810616
"122","Alaska","Iowa",4200.64957906384
"123","Alaska","IRL",25443.8993279132
"124","Alaska","ITA",19658.3273553437
